File,MSE,R2,Accuracy (%),Anomalies Detected,Average Accuracy (%)
ADMISSIONS.csv,34789008.489825584,0.990810925301094,99.0810925301094,7,98.8101873285183
CALLOUT.csv,2542830.9150072145,0.9988216590852714,99.88216590852714,4,98.8101873285183
CAREGIVERS.csv,35354.23035451219,0.9992766693695305,99.92766693695305,379,98.8101873285183
CPTEVENTS.csv,11133330.69259637,0.9989870518944036,99.89870518944036,79,98.8101873285183
DATETIMEEVENTS.csv,5593707.6229314925,0.9999889101598679,99.99889101598679,778,98.8101873285183
DIAGNOSES_ICD.csv,26690542.347950544,0.998290019442141,99.8290019442141,88,98.8101873285183
DRGCODES.csv,5794631.805034223,0.9981965853364276,99.81965853364277,15,98.8101873285183
D_CPT.csv,30033098.423662942,0.9837411931791874,98.37411931791874,7,98.8101873285183
D_ICD_DIAGNOSES.csv,44092869.375979096,0.9453952483631758,94.53952483631758,729,98.8101873285183
D_ICD_PROCEDURES.csv,355140.71068166435,0.9596380583135439,95.96380583135439,195,98.8101873285183
D_ITEMS.csv,3617243.989102345,0.9992717456299278,99.92717456299278,625,98.8101873285183
D_LABITEMS.csv,1.5351925630810093,0.9999999976206021,99.99999976206021,38,98.8101873285183
ICU.csv,5.911639722222223,0.9997581588899344,99.97581588899344,10,98.8101873285183
ICUSTAYS.csv,18525091.366650548,0.9978280891547926,99.78280891547927,7,98.8101873285183
INPUTEVENTS_CV.csv,147616999821.0977,0.9889044318316818,98.89044318316817,1740,98.8101873285183
INPUTEVENTS_MV.csv,29374770857.17906,0.9924831471503979,99.24831471503978,662,98.8101873285183
LABEVENTS.csv,263338.5082756094,0.9999999921200826,99.99999921200826,3804,98.8101873285183
MICROBIOLOGYEVENTS.csv,568185.901938176,0.9999491672072407,99.99491672072406,101,98.8101873285183
OUTPUTEVENTS.csv,5217207.077497788,0.9999921228028043,99.99921228028043,566,98.8101873285183
PATIENTS.csv,1684141.20125,0.9914850827179468,99.14850827179468,5,98.8101873285183
PRESCRIPTIONS.csv,7.288904070218714e+18,0.9039888328968969,90.39888328968969,520,98.8101873285183
PROCEDUREEVENTS_MV.csv,172813969173.57816,0.9662914488107424,96.62914488107424,38,98.8101873285183
PROCEDURES_ICD.csv,4082591.2255764166,0.9991903723160572,99.91903723160573,26,98.8101873285183
SERVICES.csv,36348471.50023859,0.9904673276511846,99.04673276511846,9,98.8101873285183
TRANSFERS.csv,1907145.5694610975,0.9997905948846378,99.97905948846379,27,98.8101873285183
