Sequence_Index,Reconstruction_Error,Anomaly
0,0.696577632173574,0
1,0.6404435615725237,0
2,0.7453378928693797,0
3,0.7324679137147528,0
4,0.6552925593290838,0
5,0.7490281150590554,0
6,0.782792689876645,0
7,0.5846342638756176,0
8,0.5218645395097384,0
9,0.47360823147996844,0
10,0.4533202282740247,0
11,0.3587893919596168,0
12,0.4443939159482086,0
13,0.5992923202427267,0
14,0.585815756169838,0
15,0.6122254401866288,0
16,0.7641086017893691,0
17,1.0221347270005245,0
18,1.043163097528855,0
19,0.9560193771946006,0
20,0.9749117366357847,0
21,1.0203887301250336,0
22,0.7413351503170666,0
23,0.7302507354060442,0
24,0.8258819631999759,0
25,0.9826845726568638,0
26,0.9322350509472025,0
27,0.8530384730577979,0
28,0.7944454879043439,0
29,0.7812657541057396,0
30,0.6492185546812832,0
31,0.6182753545288338,0
32,0.7184039682821667,0
33,0.7298397805728799,0
34,0.5168605043605535,0
35,0.5218356962866247,0
36,0.5968650923385164,0
37,0.47936491685198834,0
38,0.5398391306035694,0
39,0.6434722067176112,0
40,0.6434446321853795,0
41,0.6545754319894908,0
42,0.6418550610218458,0
43,0.5855675489616033,0
44,0.5605565899028421,0
45,0.48049417402211475,0
46,0.5709477538175177,0
47,0.6256143812875782,0
48,0.43628657262611825,0
49,0.5317118610134147,0
50,0.5675362164016581,0
51,0.5940792641013839,0
52,0.6124592028845991,0
53,0.6154921544230931,0
54,0.6880118607654755,0
55,0.6787865108556635,0
56,0.6466165264662379,0
57,0.634332923273596,0
58,0.8987387289491064,0
59,0.8292360442598024,0
60,0.7980887029948712,0
61,0.8492550307966736,0
62,0.9209507353087949,0
63,0.6743986201659921,0
64,0.6955964160500645,0
65,0.7082371609715798,0
66,0.7935069891833038,0
67,0.8103206491271687,0
68,0.7357739189187853,0
69,0.8359799813468631,0
70,0.7308911429904437,0
71,0.8470687061111145,0
72,0.8435438290898697,0
73,0.9300531130183372,0
74,0.9324312716716036,0
75,0.9011566922471634,0
76,0.8721699359372387,0
77,0.9029458722763375,0
78,0.8913382385641262,0
79,0.6096702334759542,0
80,0.47135775829729754,0
81,0.4982845779036077,0
82,0.5085002768365121,0
83,0.3973865357161186,0
84,0.3768115059479121,0
85,0.5502672888466255,0
86,0.49560933596949824,0
87,0.4819761373525416,0
88,0.47802735291227266,0
89,0.4933230699391253,0
90,0.4972727045648256,0
91,0.5049611218441953,0
92,0.5922107118566793,0
93,0.7097865449420665,0
94,0.6563048686550561,0
95,0.6718332160298464,0
96,0.8179191723066102,0
97,1.0782514207388578,0
98,1.07494504184506,0
99,1.0000360428852673,0
100,1.0140613593713816,0
101,1.0486157865742674,0
102,0.9533644514827105,0
103,0.9177424286368807,0
104,0.8176872376350655,0
105,0.736512219920518,0
106,0.6235119803022682,0
107,0.5651980913507209,0
108,0.49642865893285454,0
109,0.5816989243186441,0
110,0.6395318493256832,0
111,0.7526594215191109,0
112,0.8801965540550007,0
113,0.7830892300787171,0
114,0.8051677372225879,0
115,0.8462658926892251,0
116,1.0531400976113445,0
117,1.2767946125630345,1
118,1.2704716248454477,1
119,1.2455985408380648,1
120,1.3246606589057288,1
121,1.2792125952812698,1
122,1.400900178247345,1
123,1.2203878771166325,0
124,1.0461283988724277,0
125,1.0513030867644697,0
126,0.8269545655270608,0
127,0.7218822136097024,0
128,0.7469254661481737,0
129,0.5999129322056629,0
130,0.6250926969386261,0
131,0.4325561616716437,0
132,0.39687771906821234,0
133,0.690344116041393,0
134,0.7158449592455849,0
135,0.7178821984773462,0
136,0.7420473371971062,0
137,0.7560047501297766,0
138,0.7792124422262429,0
139,0.9533036962026589,0
140,0.9451529632193734,0
141,1.0264444057270963,0
142,1.0025370088895869,0
143,0.848220179500425,0
144,0.8426468750116851,0
145,1.0173495595310942,0
146,1.0310526293046671,0
147,0.9135898575699628,0
148,0.871878705943309,0
149,0.7016841808381756,0
150,0.7635793634696793,0
151,0.7095465468597624,0
152,0.809868665338137,0
153,0.7163707676951848,0
154,0.6413502404615181,0
155,0.511902840302534,0
156,0.4978656967647795,0
157,0.5918358392937166,0
158,0.8071075041587509,0
159,0.7471842630017356,0
160,0.6443974342916999,0
161,0.6798918793451943,0
162,0.7801330550582937,0
163,0.7742263794205058,0
164,0.6728174408878512,0
165,0.8158768807465661,0
166,0.7802534818289778,0
167,0.840666430183054,0
168,0.7638576309440748,0
169,0.7469058766520952,0
170,0.7165692046570226,0
171,0.5147938982676807,0
172,0.5284143319685286,0
173,0.7402389346638246,0
174,0.6552058962397653,0
175,0.7023726391184986,0
176,0.8848593139828478,0
177,0.6418146280237838,0
178,0.8054199557025693,0
179,0.8431882083685733,0
180,0.938562103144743,0
181,0.940735618725179,0
182,0.8358876748240666,0
183,0.9332564660428976,0
184,0.8987439230929826,0
185,1.0073180438599503,0
186,1.2829341974644703,1
187,1.4698394749463153,1
188,1.361289469989606,1
189,1.2600905906341553,1
