ReconstructionError,Anomaly
0.004903442582274433,False
0.009051284525022142,False
0.0012579150051721354,False
0.005411976733584605,False
0.010840646514195121,False
0.010066790171072317,False
0.010279266780523311,False
0.010469928872097281,False
0.006664508993718394,False
0.005101407084057641,False
0.010097199883298541,False
0.008278231307746053,False
0.010402119295021526,False
0.005835177561461855,False
0.007401369523691306,False
0.009302930515413076,False
0.0049515807112846645,False
0.01329327544368517,False
0.007663618799629892,False
0.0045908825431036585,False
0.002928423048023712,False
0.009701939518010778,False
0.004703546373521249,False
0.013314932548608046,False
0.0018122141557112043,False
0.00617888361564072,False
0.005717578508046181,False
0.0037816118479919204,False
0.003429679058112625,False
0.011650136960051358,False
0.0070118458970427535,False
0.010969669816130186,False
0.0178897464831548,False
0.001714091967479062,False
0.013142215388957065,False
0.007261657575723754,False
0.007277580514008487,False
0.007750570694018131,False
0.0043657799346162075,False
0.002895065136707152,False
0.019894679259808985,False
0.001764758099881233,False
0.01393603964724412,False
0.008132852115466395,False
0.0057996471568829994,False
0.008282700927958766,False
0.01025160781673944,False
0.00509983439629451,False
0.0038484411158937414,False
0.01389788781554111,False
0.006830073870520645,False
0.003552276951153438,False
0.0021774704511829477,False
0.003308661972638865,False
0.009776837869458708,False
0.007252791851824689,False
0.009877801681866184,False
0.002358838019192164,False
0.009252516012788098,False
0.006902939307642533,False
0.01735416860710879,False
0.00625428376664842,False
0.012809096161321611,False
0.006260327473028194,False
0.006617176845948175,False
0.00754461914799988,False
0.0027702375550209407,False
0.011207356701238496,False
0.002848454513247004,False
0.005332855698971157,False
0.004297934436065076,False
0.015769667842923725,False
0.009075116601635447,False
0.003651663493684406,False
0.019039253029911454,False
0.021375571310714474,False
0.0077795353145351034,False
0.007160900794318341,False
0.019303352282247582,False
0.01060314485385563,False
0.009865273276298932,False
0.020140736151125608,False
0.01120463886952523,False
0.011645039343498401,False
0.009265307318741933,False
0.008937464840788509,False
0.01097388779917533,False
0.0025451950659340513,False
0.007186177440574609,False
0.01843429363203758,False
0.003464729323570407,False
0.004042724157666464,False
0.012468993817912813,False
0.005532149085395744,False
0.009647985100985319,False
0.006143663989883927,False
0.013286586740492646,False
0.00804956235897034,False
0.004248324819140693,False
0.014928754209676395,False
0.009534255382799665,False
0.009978515727025126,False
0.009531403665057309,False
0.005851349317447582,False
0.005724434457591715,False
0.024323264134460496,True
0.03164019241774037,True
0.008013352628281878,False
0.009656534301124791,False
0.006947194050590334,False
0.01086017437010281,False
0.0030753995788678655,False
0.007634832087495906,False
0.005762265871382755,False
0.0022773284969395836,False
0.007107289500889515,False
0.009779188472334657,False
0.003651842122387474,False
0.008245106136885432,False
0.010100101903291914,False
0.005110273442325291,False
0.006645144913204637,False
0.009152971827268843,False
0.0054493053791240045,False
0.007893036126606006,False
0.00755580077395126,False
0.006791584072022146,False
0.0027888168911102767,False
0.006209237245581214,False
0.0031600220918667154,False
0.005851050350760846,False
0.009398032900751637,False
0.007916234708841629,False
0.014539997100277003,False
0.019745111786896703,False
0.012463815466169518,False
0.00963366056179778,False
0.00910764497121753,False
0.0039718895550539925,False
0.015174138593072003,False
0.003536932786058704,False
0.007842953426672397,False
0.001640550541797263,False
0.005719966180665179,False
0.0028384614094543433,False
0.0020505559285297686,False
0.010830562420575614,False
0.005622444424368418,False
0.007468052046681835,False
0.013380095044221819,False
0.030468316516654596,True
0.0049537285225602625,False
0.007195333654978332,False
0.003953455474807861,False
0.007645040628887248,False
0.016999909982902774,False
0.0099437485791701,False
0.006137679311203772,False
0.00949403993954999,False
0.007789260028621953,False
0.00615748986381307,False
0.0022389613784744356,False
0.020590580562456696,False
0.006167126355712321,False
0.003127648985963541,False
0.007191397593200015,False
0.007599018255435223,False
0.011832637180112895,False
0.0052401692825779,False
0.012955649330298816,False
0.007221680398097371,False
0.018985791604095616,False
0.008668256746700378,False
0.004148628768053844,False
0.012385406990604019,False
0.012713446042117021,False
0.0035915730753528262,False
0.00838707919648857,False
0.003975090276717727,False
0.003438364536928944,False
0.017890500593698493,False
0.017784435124434735,False
0.04534936826140784,True
0.004816728121125863,False
0.024677541692964648,True
0.017554807784989853,False
0.037853356524746994,True
0.016556158940537392,False
0.011823726638598554,False
0.02118119366136171,False
0.01946591514313063,False
0.023881473197671966,False
0.04078143106337245,True
0.014394874373956335,False
0.022760608603419268,False
0.07352321016812617,True
0.019788457567434897,False
0.02740388819483915,True
0.0070856744039589385,False
0.03668640289340312,True
