row_id,icd9_code
26.110352,1856.6785
27.096191,1860.5886
28.078125,1861.5027
29.060059,1862.4167
30.041016,1863.323
31.02295,1864.241
32.00537,1865.1511
32.98828,1866.0574
33.97168,1869.9714
34.953613,1870.8816
35.9375,1871.7996
36.916992,1872.7058
37.90039,1873.616
38.882812,1874.5261
39.86328,1875.4402
40.84912,1879.3464
41.831055,1880.2605
42.81299,1881.1667
43.79492,1882.0808
44.776855,1882.9988
45.75879,1883.9011
46.740234,1884.8074
47.72461,1888.7292
48.708008,1889.6433
49.689453,1890.5535
50.671387,1891.4636
51.652832,1892.3699
52.635254,1893.28
53.6167,1894.1941
54.601562,1898.1042
55.583984,1899.0183
56.565918,1899.9285
57.547363,1900.8386
58.529785,1901.7527
59.51123,1902.6628
60.492676,1903.573
61.47705,1907.4792
62.458496,1908.3972
63.441406,1909.3113
64.42432,1910.2214
65.40625,1911.1316
66.38721,1912.0457
67.37012,1912.9519
68.35449,1916.866
69.336914,1917.7722
70.31787,1918.6863
71.299805,1919.5925
72.28174,1920.5105
73.26465,1921.4207
74.24609,1922.3308
75.23047,1926.237
76.21338,1927.1589
75.8584,198.87764
76.84082,199.7878
77.822266,200.69795
78.80371,201.60811
79.7876,203.52217
80.77002,204.44014
81.751465,205.33467
82.73389,206.25264
83.71533,207.1628
84.69678,208.07295
85.67822,208.99483
86.66113,209.89717
87.64502,212.81123
88.62695,213.72139
90.16553,934.71356
91.14844,935.6237
92.129395,936.5339
93.11182,937.4362
94.09375,938.3464
95.07861,943.26434
95.49658,215.09639
96.47803,216.00264
97.46094,216.92061
99.02783,974.9089
100.009766,975.82684
100.99219,976.7292
101.97461,977.65106
102.956055,978.5534
103.9375,979.46747
104.9209,980.38544
105.90332,982.2956
106.29346,218.11592
107.87549,994.112
108.85693,995.02997
109.83838,995.9401
110.819824,996.8503
111.802734,997.76044
112.78418,998.6706
113.7666,999.57684
114.75,1001.4948
115.12695,220.31905
116.10986,222.23311
117.092285,223.14717
118.07324,224.04951
119.05615,224.96748
120.73877,1131.9714
121.720215,1132.8816
122.70215,1133.7996
123.683105,1134.7058
124.666016,1135.616
125.64844,1136.5339
126.63037,1137.4324
127.61426,1141.3464
128.59619,1142.2683
129.57959,1143.1785
130.56006,1144.0847
131.54248,1144.9988
132.52393,1145.9128
133.50732,1146.8191
134.53711,1210.737
135.51953,1211.6472
136.50146,1212.5574
137.48389,1213.4753
138.46484,1214.3777
139.44678,1215.2957
140.42871,1216.2058
141.41406,1220.116
142.39453,1221.0261
143.37793,1221.9363
144.35986,1222.8464
145.3418,1223.7605
146.3247,1224.6746
147.30566,1225.5886
148.29102,1229.4988
149.27148,1230.4011
150.25488,1231.323
151.23682,1232.2253
152.21826,1233.1355
153.20068,1234.0496
154.18262,1234.9597
155.1665,1238.8699
156.14893,1239.7878
157.13232,1240.698
158.1128,1241.6042
159.09521,1242.5183
160.07617,1243.4285
161.05908,1244.3425
162.04199,1248.2527
163.02441,1249.1589
164.00732,1250.073
164.98926,1250.987
165.97119,1251.8972
166.95264,1252.8113
167.93457,1253.7175
168.91895,1257.6316
169.90137,1258.5417
170.88281,1259.4519
171.86572,1260.366
172.84717,1261.2683
173.82959,1262.1824
174.81104,1263.0925
175.79443,1267.0066
176.77734,1267.9246
177.75977,1268.8308
178.74219,1269.737
179.72363,1270.6511
180.70557,1271.5652
181.6875,1272.4792
182.67188,1276.3894
183.65479,1277.3035
184.63623,1278.2058
185.61816,1279.1238
186.6001,1280.0261
187.58252,1280.948
188.56396,1281.8542
189.54883,1285.7683
190.53076,1286.6785
191.5127,1287.5886
192.4956,1288.5066
193.47705,1289.4128
194.45801,1290.3191
195.44043,1291.2332
196.4248,1295.1394
197.40771,1296.0613
198.38916,1296.9714
199.3711,1297.8738
200.35352,1298.7878
201.33545,1299.7058
202.31787,1300.616
203.30127,1304.5183
204.28271,1305.4324
205.26514,1306.3503
206.24707,1307.2605
207.22949,1308.1628
208.21045,1309.073
209.19385,1309.987
210.17773,1313.905
211.15918,1314.8113
212.1416,1315.7214
213.12354,1316.6316
214.10596,1317.5496
215.0874,1318.4597
216.06934,1319.366
217.0542,1323.28
218.03564,1324.1941
219.01758,1325.1042
220.00049,1326.0144
220.98242,1326.9246
221.96436,1327.8386
222.94678,1328.741
