ReconstructionError,Anomaly
0.0010804276841866896,False
0.0009908659050590015,False
0.0019270458893744455,False
0.005461899036204552,True
0.00272643235676018,False
0.0007248745568061533,False
0.00017445820458947552,False
0.0057727331123036746,True
0.0016729965311779668,False
0.0015307642741215685,False
0.0040123275462733265,False
0.003285319657013067,False
0.0030215352750539363,False
0.001507126965743189,False
0.0019757350888460015,False
0.0028413852370031724,False
0.0018766059054384325,False
0.000977284472985423,False
0.0013775411896307932,False
0.0032132164834368913,False
0.00111121117973688,False
0.0029260940798109397,False
0.0014570651482633255,False
0.0011506248426706876,False
0.0013527679376600288,False
0.003181539066131421,False
0.0025122980382212617,False
0.0010642990554747356,False
0.002111396176805158,False
0.0020413520430642637,False
0.0015927249341393783,False
0.0010128583964509393,False
0.0013458548263721852,False
0.0008710769673737274,False
0.001657670408255523,False
0.000662707377298929,False
0.0007212908681979167,False
0.0026694413124812794,False
0.0013517194876867442,False
0.001970764642397194,False
0.00062889414683478,False
0.001710959131338685,False
0.00044585178300828114,False
0.0018449957135678022,False
0.0012012518943258822,False
0.0008629226449466164,False
0.0009351292247815208,False
0.001968178613823974,False
0.002999463895720394,False
0.0008724976467100658,False
0.0005642692481935609,False
0.0010377849342666375,False
0.0026286369505630802,False
0.002235190127180199,False
0.0009713673910601593,False
0.0005647135023869806,False
0.0005116494112877931,False
0.00045377274209927615,False
0.0017012446657816743,False
0.000944872224513006,False
0.0003294762508473716,False
0.0012132432392676182,False
0.0004545131051950342,False
0.0021471052167020676,False
0.0010948124750530532,False
0.0016768961894272352,False
0.002660964271769315,False
0.003278369580447631,False
0.0012897679243878306,False
0.0019187640728421888,False
0.0009247914495977364,False
0.0023757980525343065,False
0.00039403356689400674,False
0.0017609803343563554,False
0.003015579122077675,False
0.0029136244681067223,False
0.0026322359869992433,False
0.00281046322372623,False
0.0030124109791134063,False
0.0032094604015159367,False
0.0039308970870963736,False
0.004105926617215867,False
0.0049193002920176285,True
0.0018191629578141102,False
0.001813385332978776,False
0.0011539988790639365,False
0.001808359549226129,False
0.002260951482359639,False
0.0013935969597103398,False
0.0019519439557874677,False
0.003736612138886235,False
0.0036009968492275433,False
0.004562592712849823,False
0.0013571930872319743,False
0.001057121095170203,False
0.001978160502125724,False
0.0015800780162928772,False
0.0020776017207683505,False
0.005752172900879261,True
0.0009189291840109125,False
0.0015121678653291142,False
0.0005861895287868929,False
0.0010957961941272356,False
0.0015010543810726905,False
0.0020321474295771987,False
0.004043576460317813,False
0.0036050945931478634,False
0.0019079796471704348,False
0.0007911169463626794,False
0.003954213072870488,False
0.0011966961187587991,False
0.00046566269905601396,False
0.0024633863501855174,False
0.002323363592370371,False
0.0016734506639577305,False
0.00358384357926114,False
0.00163855109508509,False
0.0013816602980974853,False
0.00216050711631117,False
0.0030161151498687387,False
0.0015933331123229623,False
0.001391584726139971,False
0.001020267501962648,False
0.0005189883905710573,False
0.0024392876530237883,False
0.001118546950126708,False
0.0003431716012634361,False
0.0031982846372609823,False
0.001472397403871919,False
0.0005011591826203742,False
0.0007394562043468644,False
0.004065779558734285,False
0.0008552841897770843,False
0.001639807812248494,False
0.0009394166987486537,False
0.0008068987830711095,False
0.0005788163505003463,False
0.0020248932624603103,False
0.0006140229495541076,False
0.0009016824372698204,False
0.0014162307296907552,False
0.0010177993891430216,False
0.0008336536349193638,False
0.0013724986080524556,False
0.0019508500962239384,False
0.0010128657157504437,False
0.000673258286045895,False
0.000379459973149514,False
0.0021442645097012347,False
0.0014931440851118133,False
0.0031669379213410094,False
0.0011734342696855433,False
0.0004690145493710789,False
0.0006683300664940766,False
0.0011426186665677242,False
0.0013119453426628468,False
0.0025031892004654843,False
0.00020569017374154247,False
0.0004441981952381466,False
0.0008446465596769296,False
0.0006146671211049153,False
0.004774463215804747,True
0.0028433802475847725,False
0.001952582162845339,False
0.0009803751548446646,False
0.0027187508247022633,False
0.002487838423939314,False
0.001795388410503034,False
0.0007083176662874673,False
0.0015187171865397883,False
0.000912360071636406,False
0.0012991513744587699,False
0.0003221865080846165,False
0.0006601714936371241,False
0.0004611788563718294,False
0.00047250808511528137,False
0.0013219917113059512,False
0.0018764408818254888,False
0.0011970586722895304,False
0.0010064739437693042,False
0.0004070947733997383,False
0.0008896500160286593,False
0.0015663304430504202,False
0.0012069685495033286,False
0.0006625337590119272,False
0.0011575742857118782,False
0.002326995356428233,False
0.0019425158027591356,False
0.0012796505727526255,False
0.0015215312150497972,False
0.0009537682340379292,False
0.0020351760866214714,False
0.007072180207748213,True
0.001136523068012721,False
0.0017191987351553718,False
0.0006398714859293882,False
0.003035488909639399,False
0.0005067046651363422,False
0.001455192268131416,False
0.0024071750859757488,False
0.0023612165135603186,False
0.002287194679801902,False
0.003301468242220013,False
0.008992380078961911,True
0.0007731471687192833,False
0.0021651805793274485,False
0.0006076669338209647,False
0.0018284887591244116,False
0.0011229497399323305,False
0.0005776378908163713,False
0.0007055877442976926,False
0.0007189644654873638,False
0.0025106516700384293,False
0.0013179151747820508,False
0.0014082985739450465,False
0.0010224431571778702,False
0.0008649600643745514,False
0.0008840149125314197,False
0.0028250949590078052,False
0.0008552595477329388,False
0.0012546473901893869,False
0.002742846144308077,False
0.003918066870249522,False
0.0015776336153818442,False
0.002498582318485995,False
0.0003128388439180846,False
0.001999435638849763,False
0.0014345415460500384,False
0.0015079579955259489,False
0.0020249646870179145,False
