window_start,anomaly_window,anomaly_score
0,1,4.1203264229878656
1,1,3.9409347825289647
2,1,3.815491621270982
3,1,3.919762113136093
4,1,3.884187479762886
5,1,4.04511619078008
6,1,4.11205922390851
7,1,3.856578167744634
8,1,4.181907315060513
9,1,3.9149682353892112
10,1,4.031433834871256
11,1,3.9590252547440707
12,1,3.9317914938448553
13,1,3.9609254244421326
14,1,4.005421551478342
15,1,3.969907701823698
16,1,3.9852571764605633
17,1,4.0233109147387776
18,1,4.091177431791934
19,1,4.005297868742707
20,1,4.128128758895253
21,1,4.048841307020193
22,1,3.989341546376865
23,1,3.9834455279359755
24,1,3.9947480596724487
25,1,3.954941055248854
26,1,3.8011529763958425
27,1,3.9188555432060026
28,1,3.877193649063096
29,1,3.947416324571309
30,1,4.248411317858088
31,1,3.8378439986345327
32,1,4.022459530321329
33,1,4.265960087213985
34,1,4.257181786465047
35,1,3.9045099935003194
36,1,3.8140973411751578
37,1,3.8954220445665815
38,1,3.9312757312429785
39,1,3.961331134691921
40,1,3.8632982816797927
41,1,3.742325959600148
42,1,3.802510068791113
43,1,3.689944657950816
44,1,3.6687344410195433
45,1,3.6203644892449125
46,1,4.153765281740098
47,1,3.9874115974993405
48,1,3.8198987980715167
49,1,4.063843964319702
50,1,4.058635816949744
51,1,3.8484028175393092
52,1,3.962333657605466
53,1,3.744486222180739
54,1,3.9174872010349615
55,1,3.7273650569967938
56,1,3.8561763145885752
57,1,3.767007064789018
58,1,3.7298092139424117
59,1,3.6655477288726086
60,1,3.6490554632062553
61,1,3.6176229393352815
62,1,3.657138387562412
63,1,3.6768718089376398
64,1,3.5752251855176125
65,1,3.82023362999933
66,1,3.5654064670440713
67,1,3.4699362372263964
68,1,3.5825400668166143
69,1,3.564333686110939
70,1,3.442857571605632
71,1,3.6073216285635983
72,1,3.4182184655560945
73,1,3.402527703859427
74,1,3.4785430501138226
75,1,3.3831545614885243
76,1,3.4779087581014307
77,1,3.4387079388046367
78,1,3.3582721136372387
79,1,3.3753085595649814
80,1,3.328574666673987
81,1,3.424664628225078
82,1,3.437140699590688
83,1,3.6641908884460035
84,1,3.3776397185409817
85,1,3.3753411030424596
86,1,3.3963463065973247
87,1,3.3757163202626206
88,1,3.108161279675368
89,1,2.8907044504523176
90,1,2.5399990334661924
91,1,2.3553992039373264
92,1,2.267780080295794
93,1,2.112906236760524
94,1,2.313815638011458
95,1,2.4805317356461414
96,1,2.085841796850373
97,1,1.567598612122962
98,1,1.4564077246364824
99,1,1.6093771978827185
100,1,1.7126697773767239
101,1,1.4107338816072752
102,1,1.3338902689904755
103,1,1.5803467969911464
104,1,1.497054271611038
105,1,1.5079921976416637
106,1,1.5288817738431582
107,1,1.3253436829425347
108,1,1.3743675932558124
109,1,1.2386718520950368
110,1,1.2046549252056393
111,1,1.225889552594421
112,1,1.0761663165181985
113,1,1.3117832174692539
114,1,1.1926933746775572
115,1,1.2583277742320544
116,1,1.4410996553871338
117,1,1.5329275035211798
118,1,1.433614696291328
119,1,1.5186645877855085
120,1,1.6174420187013623
121,1,1.6296094701577726
122,1,1.4950665372133995
123,1,1.5775224043211429
124,1,1.5227559890328815
125,1,1.6083104812454656
126,1,1.507442875933946
127,1,1.6729605357274049
128,1,1.4843754356032042
129,1,1.3209803280094574
130,1,1.2496448573229624
131,1,1.3236629736622194
132,1,1.215706995315978
133,1,1.2257281530264117
134,1,1.2315652004252389
135,1,1.2143233077034337
136,1,1.1757522120121702
137,1,1.0303689619811696
138,1,1.0338624314061895
139,1,0.969247750251637
140,1,1.006733551849364
141,1,1.0434426461099577
142,1,0.9946670866128962
143,1,1.0027991256854545
144,1,1.0845847370202955
145,1,0.9659042428381426
146,1,0.9520845738159411
147,1,0.9991452023871434
148,1,0.9238163298025586
149,1,0.9210715242380108
150,1,0.9029706680392966
151,1,0.8888467978132688
152,1,0.7390972310299184
153,1,0.7397207173692957
154,1,0.7254764979445221
155,1,0.7434977342971685
156,1,0.6629518284148732
157,1,0.5926855442885213
158,1,0.5469850087394912
159,1,0.5356722764310105
160,1,0.5191564095748658
161,1,0.5284608884582491
162,1,0.5315778474987787
163,1,0.507507498795102
164,1,0.48343921096412856
165,1,0.49402723602042675
166,1,0.4926312467057241
167,1,0.48648682062624893
168,1,0.3705311310556745
169,1,0.3185954898741339
170,1,0.2724813689010692
171,1,0.2477486987141202
172,1,0.2633117365372697
173,1,0.28061958000957743
174,1,0.2383615789113407
175,1,0.24219150658425193
176,1,0.24346300647024188
177,1,0.22827771166793975
178,1,0.17835298707808844
179,1,0.17381927720399548
180,1,0.1835796124410023
181,1,0.18866340176732832
182,1,0.19538382544961008
183,1,0.18758132468235145
184,1,0.18015251305622715
185,1,0.15038490647188718
186,1,0.13404355730253492
187,1,0.11830539871357493
188,1,0.13051646548892926
189,1,0.10442042398222395
190,1,0.12128890622930055
191,1,0.12430348472856312
192,1,0.11630156179511109
193,1,0.11577748424085721
194,1,0.1017292516298216
195,1,0.12181530223444348
196,1,0.13774070353655432
197,1,0.10078664303479279
198,1,0.11703774893885455
199,1,0.14177678288277806
200,1,0.1328131828571053
201,1,0.11254329201264568
202,1,0.08837998272399172
203,1,0.1064446032466777
204,1,0.07167200621540593
205,1,0.10037207781445856
206,1,0.08391605974682292
207,1,0.11068171560481543
208,1,0.09973330648148138
209,1,0.11446829739275488
210,1,0.11364587727305131
211,1,0.08775717971218877
212,1,0.10126700981513537
213,1,0.05880930450145749
214,1,0.045466986727839664
215,0,-0.03579264497108392
216,0,-0.03240797323510414
217,0,-0.18824122308920033
218,0,-0.24452218162373618
219,0,-0.21292185215992188
220,0,-0.24780059686157152
221,0,-0.20387205750935622
222,0,-0.10307003729010411
223,0,-0.1019488647228115
224,0,-0.09518394212999048
225,0,-0.10055212826375315
226,0,-0.06356780938252449
227,0,-0.09399161074977913
228,0,-0.11226285450952123
229,0,-0.07287730734223064
230,0,-0.11797433387062517
231,0,-0.11811049611990332
232,0,-0.11232539667579178
233,0,-0.08998714325898693
234,0,-0.10876752319502403
235,0,-0.10766455258615193
236,0,-0.08528611966452715
237,0,-0.10118061043545024
238,0,-0.10508981180690169
239,0,-0.10008811270171725
240,0,-0.13587163685590564
241,0,-0.11302638778732144
242,0,-0.0984071792616501
243,0,-0.11268169992322785
244,0,-0.11231516257616736
245,0,-0.15415652220909726
246,0,-0.11129819529775697
247,0,-0.1302745636755671
248,0,-0.1412852485970688
249,0,-0.13311357381167754
250,0,-0.10247334572897238
251,0,-0.08075033344420635
252,0,-0.1031173136357324
253,0,-0.03237828324590364
254,0,-0.024788658143008124
255,0,-0.027960726955252202
256,0,-0.04889945464345047
257,1,0.00227853844301551
258,1,0.021911441515707564
259,0,-0.03972527262111192
260,1,0.02141171581558443
261,1,0.04053482646183948
262,1,0.02575673893706698
263,0,-0.0032243738149937418
264,1,0.013678354834113948
265,0,-0.008485009616447048
266,1,0.03481795044459557
267,1,0.02637205839022161
268,1,0.00043889753316372904
269,1,0.027682176998228947
270,1,0.019833451476902964
271,1,0.0022768042680822997
272,1,0.009771929301855886
273,1,0.03929266918211516
274,1,0.11616969929867227
275,1,0.05918920359794
276,1,0.09488897791674678
277,1,0.09133092769895845
278,1,0.18203181653801037
279,1,0.15607339368886075
280,1,0.16202437316992468
281,1,0.14311060523526775
282,1,0.1370844071989339
283,1,0.15702681656620987
284,1,0.17050439163242226
285,1,0.15297499485242616
286,1,0.1395641297589747
287,1,0.20431325027808533
288,1,0.25670755120808697
289,1,0.2549241419683337
290,1,0.26240677484435126
291,1,0.2391087436912449
292,1,0.2548463576584008
293,1,0.26270780863291177
294,1,0.26121985344442566
295,1,0.2741637900150464
296,1,0.2617045523034971
297,1,0.26223653648947653
298,1,0.2895029192736387
299,1,0.26733316073918933
300,1,0.2821047506801164
301,1,0.283014636232803
302,1,0.28367752575698857
303,1,0.2552678803169932
304,1,0.25374673523183167
305,1,0.2543064919600124
306,1,0.2745022357734599
307,1,0.271032755915126
308,1,0.2624840477996859
309,1,0.3168939102390209
310,1,0.3081358600155166
311,1,0.28843476691947556
312,1,0.2690745777883745
313,1,0.28264994748500816
314,1,0.2524303046895511
315,1,0.2648919656138453
316,1,0.2454277147328341
317,1,0.22601466402181036
318,1,0.2272783151061799
319,1,0.22928061721171877
320,1,0.23921555716996723
321,1,0.20715800582592792
322,1,0.1490149359407149
323,1,0.16943191010804703
324,1,0.12267427091540872
325,1,0.14777026991922115
326,1,0.13545209206161024
327,1,0.12112635346448153
328,1,0.1432766909759191
329,1,0.13251091872239984
330,1,0.18284495612898222
331,1,0.141427747849022
332,1,0.14036013888913645
333,1,0.1577231701974502
334,1,0.18287443202357534
335,1,0.16100229145310263
336,1,0.1545473658451919
337,1,0.20630572337465414
338,1,0.22609245139893086
339,1,0.2309665045986744
340,1,0.28354725011242143
341,1,0.33517010685440907
342,1,0.3305955147053088
343,1,0.30668818633887085
344,1,0.3869487828994729
345,1,0.36636386871663484
346,1,0.355006177989194
347,1,0.31521488211857007
348,1,0.3316266956113736
349,1,0.3250561087006365
350,1,0.31934823671871415
351,1,0.34910557641819295
352,1,0.2899676651645351
353,1,0.26864832819097195
354,1,0.26572173230512
355,1,0.23660287806843816
356,1,0.2618332631007838
357,1,0.28094148206493696
358,1,0.23929338569059477
359,1,0.3089508588498646
360,1,0.2553381196170794
361,1,0.23488342162356735
362,1,0.24376035530915563
363,1,0.21435216334386697
364,1,0.2453315904226785
365,1,0.21653973907728785
366,1,0.24677370495539996
367,1,0.26476166775200904
368,1,0.2113624627190227
369,1,0.28171300829580415
370,1,0.24921794342401316
371,1,0.2061323436956477
372,1,0.2065324358812628
373,1,0.19390354757558614
374,1,0.20896168385425606
375,1,0.1790588311045258
376,1,0.16324369674037764
377,1,0.1466367909002586
378,1,0.1392727230211528
379,1,0.10905035562088772
380,1,0.1321991085199632
381,1,0.09686981006241324
382,1,0.10276506116704698
383,1,0.10255118592489088
384,1,0.10100362706558164
385,1,0.13426183258367597
386,1,0.14566434109646242
387,1,0.02675437309565587
388,1,0.04600163721964701
389,1,0.05658064970963084
390,1,0.045041966772152886
391,1,0.023008355407599934
392,1,0.023984602890447126
393,1,0.02922300515417997
394,1,0.04098734795069103
395,1,0.03202856286586142
396,1,0.03743273835490979
397,1,0.06425160410379926
398,1,0.043077573836771244
399,1,0.050912740368907805
400,1,0.03418393773538142
401,1,0.08006375864413551
402,1,0.06611397614603409
403,1,0.09689113092757728
404,1,0.0993392207857351
405,1,0.09893665685768771
406,1,0.09918741164033262
407,1,0.0993506914987794
408,1,0.13879648225744745
409,1,0.07719301754183805
410,1,0.08565376778167288
411,1,0.08497046519152018
412,1,0.0758106344011098
413,1,0.07252538011033782
414,1,0.0634295843448549
415,1,0.07268084716686518
416,1,0.1049251238353821
417,1,0.0839145719133616
418,1,0.12210305074429195
