Index,Matrix_Profile_Value,Anomaly_Label
0,5.57111475087351,Normal
1,5.585007796638396,Normal
2,5.19897192283744,Normal
3,5.193800114027178,Normal
4,5.17930777994841,Normal
5,5.14769094974951,Normal
6,5.56136840379019,Normal
7,5.492207068959582,Normal
8,5.51430578397637,Normal
9,5.46728582105979,Normal
10,5.190582905496885,Normal
11,5.032311770052872,Normal
12,4.340259225193075,Normal
13,4.336484135125215,Normal
14,4.652955932859943,Normal
15,5.231101635281785,Normal
16,5.2851432884328595,Normal
17,5.21642415547422,Normal
18,5.10788043565618,Normal
19,5.239079105904158,Normal
20,5.248235976921942,Normal
21,5.146752210580695,Normal
22,5.031382493494831,Normal
23,5.131513137817915,Normal
24,5.1370017915096895,Normal
25,4.116591639566917,Normal
26,4.975586856836776,Normal
27,5.59677922410966,Normal
28,5.400378247683936,Normal
29,5.362479738377806,Normal
30,5.345179809438029,Normal
31,5.345549098211673,Normal
32,5.352994260709098,Normal
33,5.344344242025197,Normal
34,5.366281673436777,Normal
35,5.19897192283744,Normal
36,5.193800114027178,Normal
37,5.17930777994841,Normal
38,5.14769094974951,Normal
39,5.593024923158201,Normal
40,5.492207068959582,Normal
41,5.51430578397637,Normal
42,5.46728582105979,Normal
43,5.563381221435473,Normal
44,5.451268992841265,Normal
45,5.06034741860286,Normal
46,5.072917382597812,Normal
47,5.068357570769206,Normal
48,5.472071480863537,Normal
49,5.446749110791514,Normal
50,5.218525911140148,Normal
51,5.591557794803999,Normal
52,5.675941034535675,Normal
53,5.7614187845985745,Anomaly
54,5.82864558742076,Anomaly
55,5.810080215904112,Anomaly
56,5.411789199534718,Normal
57,5.032311770052872,Normal
58,5.010528707786305,Normal
59,4.98746854376517,Normal
60,5.2005548237306956,Normal
61,5.231101635281785,Normal
62,5.27531377281783,Normal
63,5.21642415547422,Normal
64,5.10788043565618,Normal
65,5.239079105904158,Normal
66,5.225710899094562,Normal
67,4.880423995238516,Normal
68,4.920099128671527,Normal
69,5.698389974920583,Anomaly
70,5.818036857416148,Anomaly
71,5.685479194833263,Anomaly
72,5.534191287839616,Normal
73,5.457257798387696,Normal
74,5.415654257738585,Normal
75,5.389771307903404,Normal
76,5.337352686995872,Normal
77,5.344959918041791,Normal
78,5.146752210580695,Normal
79,5.031382493494831,Normal
80,5.131513137817915,Normal
81,5.1370017915096895,Normal
82,4.116591639566917,Normal
83,5.539539511696126,Normal
84,5.415039947941921,Normal
85,5.362479738377806,Normal
86,5.345179809438029,Normal
87,5.345549098211673,Normal
88,5.352994260709098,Normal
89,5.175413706519031,Normal
90,5.209715302749452,Normal
91,5.233460351602547,Normal
92,5.287966463751157,Normal
93,5.270886099135812,Normal
94,5.27531377281783,Normal
95,5.268208742705437,Normal
96,5.271383073418391,Normal
97,5.278145813183821,Normal
98,5.225710899094562,Normal
99,4.880423995238516,Normal
100,4.920099128671527,Normal
101,4.340259225193075,Normal
102,4.336484135125215,Normal
103,4.652955932859943,Normal
104,5.327487567887037,Normal
105,5.338830219622078,Normal
106,5.218525911140148,Normal
