ReconstructionError,Anomaly
0.0011024842701401491,False
0.0011816137741522772,False
0.0010514216225008337,False
0.0011475526264895144,False
0.001787458649534537,False
0.0001245199147724509,False
0.00043846787263037074,False
0.0019028022308693333,False
0.003220816300018056,False
0.0010477317927504524,False
0.0024602265499822145,False
0.0019581753438591095,False
0.0008892140714620373,False
0.0009662720440799987,False
0.00027588693970165897,False
0.0015895509297470835,False
0.0011487575687694276,False
0.0029594972713549265,False
0.001873580564795151,False
0.002205153490677769,False
0.0046900674245804784,True
0.0021923910797626025,False
0.0014618511239188534,False
0.0010411619231379947,False
0.0015867613402192377,False
0.0046076683597811125,False
0.0015316597040979777,False
0.002816190287560408,False
0.0007289567616676825,False
0.000397963537676817,False
0.0005634457262310902,False
0.0014581988472308171,False
0.001998251649130836,False
0.00035762928249358304,False
0.001868365518828089,False
0.001880481227371723,False
0.0010875342127415753,False
0.0013887365853713638,False
0.0008311283275769823,False
0.0017073930498441297,False
0.0026587625973048456,False
0.0009532535723802927,False
0.0006370402891338235,False
0.0017082024341704724,False
0.0008120743913189626,False
0.004139654703799427,False
0.0006349932034033498,False
0.0021054445450350355,False
0.0061096456843237135,True
0.000230248850913754,False
0.0003736544312935778,False
0.00014733093420246638,False
0.0011886993068677275,False
0.0011053724106361452,False
0.001375702573285156,False
0.0012566451768265114,False
0.001428535412480331,False
0.0016007100823060504,False
0.0008015116431776063,False
0.0018993381863278062,False
0.0011388029738264758,False
0.002787177521638711,False
0.0005859412239152391,False
0.0003533750718518257,False
0.0008871360737655452,False
0.0015007879231656261,False
0.001418879232665585,False
0.003132959145146937,False
0.0008327979212174129,False
0.0006316704801342449,False
0.0003414965096784575,False
0.001414587056268193,False
0.002041281439512662,False
0.002036338541304484,False
0.0016464860706640672,False
0.002610857713402638,False
0.0014198409242443596,False
0.0012322623541664978,False
0.0012219412107046825,False
0.001522626924832161,False
0.00046578087832163716,False
0.003030657468974258,False
0.0027428145736050793,False
0.0010396442080859883,False
0.0010613358344755922,False
0.002713913468833387,False
0.0036555232474868708,False
0.001875399425180544,False
0.002768179784681112,False
0.002532859957484656,False
0.0021416205559257446,False
0.0013219442027933169,False
0.0023992879677661436,False
0.0006818699118643166,False
0.0015794089810329398,False
0.0018152258765151007,False
0.0015251615317119723,False
8.48458249268873e-05,False
0.0014227846792322304,False
0.0020544221407625698,False
0.0017296376044850863,False
0.0016270870471524015,False
0.0012048574497045173,False
0.0005189735101301832,False
0.000479056032721092,False
0.0005732514293520994,False
0.0013566866723580932,False
0.005401420804452926,True
0.00046860789357155237,False
0.0007020885394511061,False
0.0014900693257239796,False
0.0016705842405750112,False
0.0008298398537173481,False
0.0009335897726881081,False
0.0007774444071473211,False
0.002694588777145409,False
0.0005802097907879295,False
0.00028412472647900333,False
0.0044338681721391325,False
0.0006536835369018038,False
0.002957235183781155,False
0.0018028286114392267,False
0.001883607284765828,False
