Sequence_Index,Reconstruction_Error,Anomaly
0,0.6622715069964441,0
1,0.5833931335187863,0
2,0.7008946100737342,0
3,0.7368932432011412,0
4,0.6513900029253914,0
5,0.7313195759032886,0
6,0.7764741120622557,0
7,0.5977002833876757,0
8,0.5321521934513889,0
9,0.48182187368012863,0
10,0.43559321074914,0
11,0.35887660834850255,0
12,0.37940920423704866,0
13,0.6176265245825818,0
14,0.5720243935336505,0
15,0.5325606443148103,0
16,0.6567805487936252,0
17,0.9807327047324793,0
18,0.9707274745148956,0
19,0.9460726779758339,0
20,0.9750707477727438,0
21,1.0079686910592107,0
22,0.7151782851106475,0
23,0.680357938293033,0
24,0.8361658329339551,0
25,0.9538053231857234,0
26,0.934830997529177,0
27,0.8543410575345868,0
28,0.8010022999260795,0
29,0.7660757291766476,0
30,0.6372129076102248,0
31,0.6156896483464067,0
32,0.6880198285578676,0
33,0.7042807192199186,0
34,0.5019815076464132,0
35,0.5274278294421682,0
36,0.6032960828722133,0
37,0.4934566696004194,0
38,0.5073191469209171,0
39,0.6523276397839265,0
40,0.6720430006279331,0
41,0.6835467507496429,0
42,0.6087827986177123,0
43,0.5627260250627711,0
44,0.5512647553241797,0
45,0.521898480837605,0
46,0.5976587383852616,0
47,0.6478437069362066,0
48,0.44289446361457496,0
49,0.5252214905832775,0
50,0.5265988092014522,0
51,0.5423297683317402,0
52,0.5733707194100067,0
53,0.5579368785487494,0
54,0.723889931599676,0
55,0.7502332806299149,0
56,0.720191641239331,0
57,0.6955482416680492,0
58,0.8632460305289702,0
59,0.8035751137992647,0
60,0.7775541050613177,0
61,0.8179742182722639,0
62,0.9265781767814132,0
63,0.6618574909952947,0
64,0.7104605758307329,0
65,0.730191773917065,0
66,0.7404489475798859,0
67,0.765248199607537,0
68,0.6808056593925591,0
69,0.6823267865081301,0
70,0.7582209066508153,0
71,0.8118555329637044,0
72,0.8083300056112334,0
73,0.8522779951707087,0
74,0.8734264879637166,0
75,0.862505612300231,0
76,0.8777270877724502,0
77,0.8666119323860814,0
78,0.8885083978582737,0
79,0.6147495975139107,0
80,0.46628167994521946,0
81,0.48431140554123836,0
82,0.4935279997202278,0
83,0.38847522930564765,0
84,0.3658667226064144,0
85,0.433195795888361,0
86,0.4205404118953219,0
87,0.38933534961423993,0
88,0.46887505221215764,0
89,0.5455240696287159,0
90,0.5678867985099676,0
91,0.6450570025490759,0
92,0.6226640092372818,0
93,0.7093571205247942,0
94,0.6417903361761108,0
95,0.6606974278072688,0
96,0.8118407898373785,0
97,1.0467792311446327,0
98,1.0611733642619507,0
99,1.018724901135128,0
100,1.028903425732156,0
101,1.0511325996002656,0
102,0.8976099335236825,0
103,0.9260840261446212,0
104,0.8105746248269735,0
105,0.7364651825258233,0
106,0.6136450206926601,0
107,0.5308521565843989,0
108,0.49246804802012883,0
109,0.597392415396355,0
110,0.6133368228913353,0
111,0.6841388628615971,0
112,0.7735460786789831,0
113,0.6864224209216498,0
114,0.8153825650415959,0
115,0.8497683334913667,0
116,0.9989407885853029,0
117,1.223197300143352,0
118,1.2218440316247552,0
119,1.2442082990897962,0
120,1.3238280237017073,0
121,1.2895882202965034,0
122,1.3099089645179318,0
123,1.238503579893304,0
124,1.0832419344908304,0
125,1.0606764702543836,0
126,0.8297923712054744,0
127,0.7181397398831291,0
128,0.7290856239733149,0
129,0.568235540775202,0
130,0.6231093080186123,0
131,0.45007628030619684,0
132,0.39303441753622825,0
133,0.6468987169904756,0
134,0.7067539156032705,0
135,0.7217242659606825,0
136,0.68483930715172,0
137,0.7395169946742309,0
138,0.7673336818882606,0
139,0.9326145524516443,0
140,0.9462139463365609,0
141,0.9579458906367511,0
142,1.0035472277456023,0
143,0.8244864814492119,0
144,0.8289343619786853,0
145,0.9793129902043158,0
146,1.036887357619611,0
147,0.9197223152854541,0
148,0.8345068005850015,0
149,0.691718606458377,0
150,0.7863254037510309,0
151,0.7243051251167428,0
152,0.9124923044272201,0
153,0.7452763668075371,0
154,0.6620948319452058,0
155,0.4961876848756436,0
156,0.4132562521367188,0
157,0.5712890191146223,0
158,0.8097807818765587,0
159,0.7688658238022011,0
160,0.6507435622850966,0
161,0.6272197820754924,0
162,0.7064174533653902,0
163,0.7068336646893881,0
164,0.6867899923476913,0
165,0.8108848400589667,0
166,0.7126886311073519,0
167,0.7664822864011928,0
168,0.7412843211819827,0
169,0.750640064291709,0
170,0.705617981895516,0
171,0.504607258030658,0
172,0.5350405658354075,0
173,0.6194279361374347,0
174,0.5979432151131735,0
175,0.6126855950328008,0
176,0.6851698936559191,0
177,0.6072415176205447,0
178,0.6535953540008642,0
179,1.01269293216768,0
180,1.0245243623379066,0
181,0.9043866178874718,0
182,0.8519317362084956,0
183,0.8753146917218231,0
184,0.8474200120787777,0
185,0.9238096769104206,0
186,1.0820867800201817,0
187,1.51885694599329,1
188,1.310747409348278,0
189,1.1900441345148878,0
