Sequence_Index,Reconstruction_Error
0,0.5731320178745215
1,0.5134289381028974
2,0.17135244908793643
3,0.16062067360086513
4,0.13800668338572208
5,0.1020090637549967
6,0.07566858065533835
7,0.02582544301030542
8,0.05357858713278263
9,0.0790101634596011
10,0.2153107384842355
11,0.17356892154023146
12,0.13915743499010014
13,0.14788811840118346
14,0.12954982924426228
15,0.08753161921087056
16,0.05482959103565839
17,0.1694228918587261
18,1.4238758641291374
19,2.10453918378702
20,2.2542315064233565
21,2.407764917804662
22,2.903648483431156
23,0.901727457643163
24,0.7954940376075037
25,0.7646324270892075
26,0.6809060821230903
27,0.1355867669640831
28,0.06007131202770647
29,0.012366835224312908
30,0.014116837092561924
31,0.026242410550895566
32,0.0786141389713076
33,0.10738696903516068
34,0.10574955732769928
35,0.0685769709310816
36,0.030857212836332405
37,0.03602252784605896
38,0.07600300341435143
39,0.46333476949656716
40,0.36444191650485186
41,0.32183243334971223
42,0.29606211868326315
43,0.2670342797424837
44,0.13139673648651362
45,0.14684880427822242
46,0.14974660773080498
47,0.1124635222656614
48,0.09905613151016351
49,0.0401507461185717
50,0.5424221088999233
51,1.8686901067742216
52,1.704522720507941
53,4.82248872405413
54,6.426680841801823
55,6.557808210164043
56,1.7820646841157324
57,0.07511429281323366
58,0.0597246981772397
59,0.01895557748333985
60,0.026344181879458344
61,0.07142049653558895
62,0.07230761391733734
63,0.05341169678034491
64,1.2684456281670748
65,1.119099416515244
66,1.2596108388712413
67,1.3427305117094546
68,1.3795214648719638
69,0.2575204398354673
70,0.22144512258123647
71,0.21508534263013518
72,0.14745666008462882
73,0.3717700169382875
74,0.38032355790745975
75,0.6198592821918668
76,0.6310172549123249
77,0.6382047315282882
78,0.5668946277858437
79,0.5251679347966998
80,0.4097398439408191
81,0.4018348217271902
82,0.4791693400975994
83,0.28773780887410977
84,0.061149040065943495
85,0.05645127775544258
86,0.06740005631852933
87,0.051330904916227306
88,0.011511692708229665
89,0.03926415382842509
90,0.07067625668053254
91,0.05737727115494642
92,0.04342065613199058
93,0.11722978773130026
94,0.5197070476434881
95,0.5670336057590094
96,1.1577333275106962
97,1.3608720438010722
98,1.8364220395942692
99,1.651545224085136
100,1.598291390143966
101,0.6480649547334781
102,0.7792245814263684
103,0.7806936815629685
104,0.7102451103134244
105,0.6858721977824627
106,0.046833233531355954
107,2.677609676798785
108,3.061919541201793
109,3.2079387533684454
110,3.335086492445911
111,3.308243515430745
112,0.028873521236361964
113,0.03622354500450407
114,0.07212067540147428
115,0.10816826317682773
116,0.06963528509120456
117,0.17876974402574858
118,0.1499196541995133
119,0.12519852168707385
120,0.13273153004602684
121,0.06502499795898235
122,0.019923024241460998
123,0.023212147230257846
124,0.04754595111901194
125,0.054410665408984774
126,0.08613808473805634
127,0.12662183785419798
128,0.06037035801286541
129,2.66711133885752
130,3.3598017024778883
