Vital Sign,Total Anomalies (Physiological),Anomaly Record Indices (Physiological),Total Anomalies (Detected),Anomaly Record Indices (Detected)
SysBP,84.0,"1, 5, 9, 13, 15, 16, 17, 18, 19, 25, 27, 30, 31, 32, 35, 39, 44, 48, 49, 50, 52, 53, 54, 55, 58, 59, 61, 62, 66, 72, 74, 75, 76, 82, 83, 89, 92, 93, 95, 101, 103, 106, 109, 112, 114, 123, 126, 138, 142, 144, 150, 153, 155, 156, 157, 158, 161, 168, 169, 170, 171, 174, 181, 186, 187, 189, 191, 194, 195, 197, 0, 21, 33, 47, 67, 68, 69, 78, 102, 118, 154, 162, 163, 173",,
Pulse,89.0,"5, 6, 7, 9, 11, 12, 14, 20, 22, 24, 26, 27, 28, 33, 35, 45, 46, 47, 49, 52, 53, 54, 55, 58, 60, 61, 62, 64, 67, 69, 74, 76, 79, 81, 84, 85, 87, 90, 93, 105, 112, 114, 118, 120, 121, 124, 125, 129, 130, 131, 134, 137, 138, 139, 140, 141, 142, 145, 146, 147, 149, 150, 152, 154, 155, 156, 157, 158, 159, 160, 163, 166, 168, 173, 175, 180, 184, 189, 192, 193, 21, 56, 94, 103, 122, 128, 165, 170, 185",,
Model (IsolationForest),,,10.0,"21, 33, 62, 78, 103, 142, 158, 170, 173, 195"
