Threshold_Value,AUC,Precision,Recall,F1,FAR,Threshold_Name,Model,Reco_MSE,Reco_R2
1.7108929520590406,0.5750569846955389,0.3333333333333333,0.10810810810810811,0.16326530612244897,0.0963855421686747,90%,TCN_Autoencoder,0.8947855562174839,0.12648607257574473
1.9381921647552796,0.5750569846955389,0.3333333333333333,0.05405405405405406,0.09302325581395349,0.04819277108433735,95%,TCN_Autoencoder,0.8947855562174839,0.12648607257574473
2.0356267110715143,0.5750569846955389,0.3333333333333333,0.02702702702702703,0.05,0.024096385542168676,98%,TCN_Autoencoder,0.8947855562174839,0.12648607257574473
