row_id,itemid
4.016869,1256.0629
4.78933,1258.6176
5.5613027,1261.1879
6.3332753,1263.7504
7.1047597,1266.3129
8.013452,1274.6957
8.784448,1277.2582
9.557885,1279.805
10.329858,1282.391
11.1018305,1284.9379
11.87478,1287.5004
12.646264,1290.055
13.418237,1292.6254
14.190209,1295.18
14.9612055,1297.7426
15.733666,1300.305
16.506126,1302.8597
17.279076,1305.43
18.05056,1307.9847
18.842064,1311.3832
19.615013,1313.9457
20.387474,1316.5082
21.15847,1319.0785
21.929955,1321.6254
22.702904,1324.1879
23.474876,1326.7582
21.109642,-87.9996
22.117943,-87.038666
23.125267,-86.069916
24.131126,-85.101166
25.138939,-84.1246
26.146751,-83.15585
27.13308,-65.4996
28.140892,-64.53085
29.147728,-63.569912
30.156029,-62.601162
31.163841,-61.6246
32.171165,-60.663662
33.17849,-58.726162
34.185326,-57.741787
35.191185,-55.796474
36.199486,-54.827724
37.20632,-53.866787
38.21511,-52.882412
39.222435,-51.929287
40.22927,-50.952724
41.236107,-49.983974
42.244408,-49.023037
43.25173,-47.077724
44.258568,-46.108974
45.265892,-45.132412
46.274193,-44.163662
47.282005,-43.202724
48.28933,-42.233974
49.296165,-41.265224
50.30349,-40.296474
51.31179,-39.327724
52.318626,-38.366787
53.32644,-37.390224
54.335228,-36.429287
55.342552,-35.46835
56.3489,-34.4996
57.356712,-33.523037
58.364525,-32.5621
59.37185,-31.59335
60.378685,-30.6246
61.387962,-29.648037
62.395287,-28.694912
63.40261,-27.71835
64.409935,-26.7496
65.41775,-25.78085
66.42507,-24.804287
67.43191,-23.851162
68.441185,-22.882412
69.447044,-21.90585
70.455345,-20.944912
71.46267,-19.976162
72.47097,-19.015224
73.47683,-17.054287
74.48464,-16.09335
75.49197,-15.140225
76.50027,-14.163663
77.50759,-13.1871
78.51589,-12.21835
79.523705,-11.257413
80.53103,-10.288663
81.537865,-9.319913
82.54519,-8.351163
83.55349,-7.382413
84.5613,-6.413663
85.56814,-5.444913
86.57644,-4.476163
87.583275,-3.5152252
88.59109,-2.5542877
89.59939,-1.5699127
90.6072,-0.60897523
91.61355,0.3597748
92.62185,1.3207123
93.62966,2.3050873
94.636986,3.2503998
95.64431,4.2347746
96.65261,5.195712
97.65896,6.164462
98.66726,7.133212
99.67507,8.09415
100.68191,9.0629
101.69021,10.03165
102.697044,10.992587
103.70437,11.953525
104.71218,12.930087
105.72146,13.90665
106.72732,14.867587
107.73513,15.828525
108.74343,16.805088
109.75027,17.773838
110.75759,18.742588
111.7654,19.711338
112.77322,20.672276
113.78103,21.648838
114.787865,22.617588
115.796165,23.578526
116.803,24.539463
117.810326,25.523838
118.819115,26.492588
119.824486,28.4379
120.83279,29.414463
121.84011,30.367588
122.84841,31.34415
123.85525,32.305088
124.861595,34.258213
125.86941,35.21915
126.87722,36.195713
127.884056,37.148838
128.89188,38.1254
129.90018,39.09415
130.90652,40.0629
131.91434,41.03165
132.92264,41.992588
133.92947,42.961338
134.93729,43.930088
135.9451,44.883213
136.95242,45.859776
137.96072,46.828526
138.96854,47.797276
139.97635,48.758213
140.98367,49.742588
141.98856,52.664463
142.99637,53.633213
144.0037,54.601963
145.012,55.5629
146.01932,56.539463
147.02664,57.5004
148.03445,58.461338
149.04178,59.445713
150.0491,60.40665
151.05692,61.367588
152.06375,62.351963
153.07205,63.3129
154.07938,64.28165
155.08621,65.2504
156.09451,66.21915
157.1033,67.180084
158.10867,68.16446
159.11844,69.10977
160.12527,70.07852
161.13162,71.04727
162.13992,72.00821
163.14774,72.992584
164.15457,73.95352
165.16336,74.92227
166.1702,75.88321
167.1785,76.85977
168.1868,77.82071
169.19315,78.78946
170.20096,79.7504
171.20828,80.71915
172.2161,81.69571
173.2239,82.680084
174.23123,83.63321
175.23904,84.59415
176.24686,85.5629
177.2537,86.53946
178.262,87.492584
179.26834,88.46915
180.27615,89.4379
181.28445,90.40665
182.29129,91.367584
183.29959,92.34415
184.30692,93.305084
185.31522,94.273834
186.32205,95.242584
187.33035,96.211334
188.3367,97.17227
189.34598,98.148834
190.35281,99.10977
191.36014,100.07852
192.36795,101.055084
193.37527,102.00821
194.38211,102.97696
195.38992,103.95352
196.39774,104.92227
197.40457,105.89102
198.41287,106.85196
199.42117,107.82071
200.42899,108.78946
201.4368,109.76602
202.44363,110.711334
203.45047,111.6879
204.45877,112.65665
205.4661,113.6254
206.4744,114.60196
207.48172,115.5629
208.48953,116.53165
209.49686,117.492584
210.5032,120.430084
211.51004,121.398834
212.51736,122.35196
213.52518,123.336334
214.53104,125.273834
215.53934,126.2504
216.54666,127.211334
217.55399,128.19571
218.56131,129.14102
219.56961,130.11758
220.57693,131.07852
221.58377,132.04727
222.59207,133.02383
223.5994,134.0004
224.60623,134.95352
225.61453,135.92227
226.62186,136.88321
227.63016,137.85977
228.637,138.82071
229.64432,139.79727
230.65164,140.75821
231.65994,141.72696
232.66776,142.71133
233.67459,143.64883
234.68289,144.63321
235.69022,145.60196
236.69852,146.55508
237.70535,147.53165
238.71268,148.50821
239.72,149.46915
240.72879,150.43008
241.73611,151.40665
242.74295,152.36758
243.75125,153.33633
244.75858,154.3129
245.76443,155.26602
246.77371,156.2504
247.78104,157.21133
248.78983,158.18008
249.79617,159.14883
250.80399,160.11758
251.81131,161.07852
252.81863,162.05508
253.82693,163.01602
254.83377,163.99258
255.84207,164.94571
256.84988,165.92227
257.85672,166.89102
258.86453,167.85977
259.87283,168.82852
260.88113,169.79727
261.88895,170.7504
262.8953,171.72696
263.9036,172.69571
264.91043,173.65665
265.91776,174.6254
266.92606,175.60196
267.9329,176.55508
