ReconstructionError,Anomaly
0.0009593589831416347,False
0.0016068856624649485,False
0.0016087439706665607,False
0.0015592483451337884,False
0.001292935814340901,False
0.00035796609440041607,False
0.0005490662860481181,False
0.0015535719328131157,False
0.000782967821533598,False
0.00039165795343834266,False
0.001385606919033821,False
0.00043081832776206426,False
0.000804619920684328,False
0.0002363912015537107,False
0.00038424004214599204,False
0.0011196569762149024,False
0.0006263378210305005,False
0.0008797143296030791,False
0.0013891938970330157,False
0.00017925989680803774,False
0.0007780990255079001,False
0.0011619963166942476,False
0.0010863461645696634,False
0.0011510404525881003,False
0.0009259303014634526,False
0.0008482077613267733,False
0.00018328135778957486,False
0.0007345563617393363,False
0.0007922646195183113,False
0.0013379304136336687,False
0.0007291421686791199,False
0.0005819564919091533,False
0.0007256519360937995,False
0.00010059248088885532,False
0.0006526943494226902,False
0.0011856080619596792,False
0.0007747414093782575,False
0.0005636601975082825,False
0.0010582867172373748,False
0.0007023148066203052,False
0.0006046697336623967,False
0.0024488107416414063,False
0.0009535196853108517,False
0.00048139319104328193,False
0.00026016645527902367,False
0.0003066991460167341,False
0.00018064994806511904,False
0.0006863816666584115,False
0.0015852673393323192,False
0.0006347441370714487,False
0.0003852614367648488,False
0.0006751877105392924,False
0.0004722872026938999,False
0.0006303459752315316,False
0.0005692692009850499,False
0.0003326587386108078,False
0.00032980739792937624,False
0.00038032312414942475,False
0.00048025601943784427,False
0.0016459188464331422,False
0.000538243524709662,False
0.001307605451212571,False
0.000553017084760415,False
0.0007251907004407453,False
0.0010663422788986252,False
0.000612398496442343,False
0.001146105614366467,False
0.0011439765620699896,False
0.0009262898670237503,False
0.0005599053243657819,False
0.0002514318698843496,False
0.0003015898565817918,False
0.0006290255644334603,False
0.0004550615893601714,False
0.0006572808991784509,False
0.0005570861099970973,False
0.00039615903807663585,False
0.0007227070070710925,False
0.0006745741416066388,False
0.001718968913487352,False
0.00039358951738090734,False
0.000874732402533401,False
0.0007792859704182479,False
0.00011155174086517119,False
0.0011650203741729523,False
0.0020706283383031677,False
0.0006861264655997891,False
0.0016799526606107438,False
0.00039395905529946134,False
0.0007198630239610345,False
0.0027340193088368817,False
0.0005631530884517313,False
0.0013075802298837206,False
0.0004332620508233942,False
0.0006021047697284302,False
0.0010365696158092053,False
0.00024465717799364203,False
0.0001880966466406112,False
0.002837250940879429,False
0.0008554228901926557,False
0.0007780286147852431,False
0.0005373382715715111,False
0.0009014465720243648,False
0.00033628479594357343,False
0.0018143211435569324,False
0.001193642896808168,False
0.0009859305610737585,False
0.001544890568010016,False
0.0004658582012532312,False
0.0008016365092058536,False
0.0002493199165680225,False
0.00046394571733006346,False
0.0017075286214069223,False
0.0013548053205804263,False
0.0018008147338873335,False
0.0011256651075180132,False
0.0014275757909709337,False
0.0004590470022052827,False
0.00025118060959489804,False
0.00042189324891294435,False
0.0007086023187157792,False
0.0008206230021908567,False
0.0001083810777486456,False
0.00037977626383065303,False
0.0003932384064459065,False
0.0011204635118264206,False
0.0004889196934145819,False
0.0015392141151232036,False
0.0007652101278582149,False
0.0006451518995230922,False
0.0003011522521037258,False
0.0005096740647824087,False
0.0005702664721613145,False
0.00048352126162788537,False
0.0005873675620766279,False
0.001022933144899173,False
0.0016752010532685585,False
0.0007555218704362448,False
0.00032840453824743807,False
0.0001837923057840697,False
0.00022769796094110532,False
0.00024027577792867875,False
0.0017392058934653095,False
0.00045493385278242874,False
0.0006904253347919973,False
0.0006303890347265596,False
0.0007141315032618618,False
0.0006613408708211287,False
